,EpochNumber,BatchSize,Precision,Loss
0,1.0,100.0,0.8721561431884766,421.87750244140625
0,1.0,83.33333333333333,0.40760311484336853,143.4380645751953
0,1.0,66.66666666666666,0.8731102347373962,364.5651550292969
0,1.0,50.0,0.846910297870636,91.6864013671875
0,6.0,100.0,0.8712754845619202,530.4315185546875
0,6.0,83.33333333333333,0.8717158436775208,202.6204071044922
0,6.0,66.66666666666666,0.8742110729217529,224.11007690429688
0,6.0,50.0,0.8689270615577698,24.81517219543457
0,11.0,100.0,0.8714956641197205,16.79191780090332
0,11.0,83.33333333333333,0.6632907390594482,38.23605728149414
0,11.0,66.66666666666666,0.8713489174842834,0.38362452387809753
0,11.0,50.0,0.8713489174842834,0.3837636411190033
0,16.0,100.0,0.8713489174842834,0.38374918699264526
0,16.0,83.33333333333333,0.871422290802002,0.3836250901222229
0,16.0,66.66666666666666,0.871422290802002,0.38363727927207947
0,16.0,50.0,0.871422290802002,0.38364148139953613
0,21.0,100.0,0.871422290802002,0.38363364338874817
0,21.0,83.33333333333333,0.871422290802002,0.3836345076560974
0,21.0,66.66666666666666,0.871422290802002,0.3836421072483063
0,21.0,50.0,0.871422290802002,0.3836364150047302
